"","lat","lon","year","month","precipitation_mm"
"1",28.5,76.5,1920,1,93.1362385080021
"2",29.5,76.5,1920,1,93.1362385080021
"3",28.5,77.5,1920,1,93.1362385080021
"4",29.5,77.5,1920,1,93.1362385080021
"5",28.5,76.5,1920,2,130.070411594738
"6",29.5,76.5,1920,2,130.070411594738
"7",28.5,77.5,1920,2,130.070411594738
"8",29.5,77.5,1920,2,130.070411594738
"9",28.5,76.5,1920,3,75.0650823161132
"10",29.5,76.5,1920,3,75.0650823161132
"11",28.5,77.5,1920,3,75.0650823161132
"12",29.5,77.5,1920,3,75.0650823161132
"13",28.5,76.5,1920,4,42.8271043518195
"14",29.5,76.5,1920,4,42.8271043518195
"15",28.5,77.5,1920,4,42.8271043518195
"16",29.5,77.5,1920,4,42.8271043518195
"17",28.5,76.5,1920,5,25.8569163221853
"18",29.5,76.5,1920,5,25.8569163221853
"19",28.5,77.5,1920,5,25.8569163221853
"20",29.5,77.5,1920,5,25.8569163221853
"21",28.5,76.5,1920,6,32.6739133137306
"22",29.5,76.5,1920,6,32.6739133137306
"23",28.5,77.5,1920,6,32.6739133137306
"24",29.5,77.5,1920,6,32.6739133137306
"25",28.5,76.5,1920,7,40.7668562221999
"26",29.5,76.5,1920,7,40.7668562221999
"27",28.5,77.5,1920,7,40.7668562221999
"28",29.5,77.5,1920,7,40.7668562221999
"29",28.5,76.5,1920,8,31.1245098575708
"30",29.5,76.5,1920,8,31.1245098575708
"31",28.5,77.5,1920,8,31.1245098575708
"32",29.5,77.5,1920,8,31.1245098575708
"33",28.5,76.5,1920,9,67.8459679655601
"34",29.5,76.5,1920,9,67.8459679655601
"35",28.5,77.5,1920,9,67.8459679655601
"36",29.5,77.5,1920,9,67.8459679655601
"37",28.5,76.5,1920,10,63.6583973355671
"38",29.5,76.5,1920,10,63.6583973355671
"39",28.5,77.5,1920,10,63.6583973355671
"40",29.5,77.5,1920,10,63.6583973355671
"41",28.5,76.5,1920,11,107.061257780256
"42",29.5,76.5,1920,11,107.061257780256
"43",28.5,77.5,1920,11,107.061257780256
"44",29.5,77.5,1920,11,107.061257780256
"45",28.5,76.5,1920,12,135.743463882694
"46",29.5,76.5,1920,12,135.743463882694
"47",28.5,77.5,1920,12,135.743463882694
"48",29.5,77.5,1920,12,135.743463882694
"49",28.5,76.5,1921,1,113.155769817217
"50",29.5,76.5,1921,1,113.155769817217
"51",28.5,77.5,1921,1,113.155769817217
"52",29.5,77.5,1921,1,113.155769817217
"53",28.5,76.5,1921,2,92.3638354119269
"54",29.5,76.5,1921,2,92.3638354119269
"55",28.5,77.5,1921,2,92.3638354119269
"56",29.5,77.5,1921,2,92.3638354119269
"57",28.5,76.5,1921,3,98.134349672788
"58",29.5,76.5,1921,3,98.134349672788
"59",28.5,77.5,1921,3,98.134349672788
"60",29.5,77.5,1921,3,98.134349672788
"61",28.5,76.5,1921,4,79.6297805159776
"62",29.5,76.5,1921,4,79.6297805159776
"63",28.5,77.5,1921,4,79.6297805159776
"64",29.5,77.5,1921,4,79.6297805159776
"65",28.5,76.5,1921,5,53.8427806231957
"66",29.5,76.5,1921,5,53.8427806231957
"67",28.5,77.5,1921,5,53.8427806231957
"68",29.5,77.5,1921,5,53.8427806231957
"69",28.5,76.5,1921,6,60.429240437975
"70",29.5,76.5,1921,6,60.429240437975
"71",28.5,77.5,1921,6,60.429240437975
"72",29.5,77.5,1921,6,60.429240437975
"73",28.5,76.5,1921,7,35.806865300315
"74",29.5,76.5,1921,7,35.806865300315
"75",28.5,77.5,1921,7,35.806865300315
"76",29.5,77.5,1921,7,35.806865300315
"77",28.5,76.5,1921,8,51.0271729599882
"78",29.5,76.5,1921,8,51.0271729599882
"79",28.5,77.5,1921,8,51.0271729599882
"80",29.5,77.5,1921,8,51.0271729599882
"81",28.5,76.5,1921,9,53.7188755434843
"82",29.5,76.5,1921,9,53.7188755434843
"83",28.5,77.5,1921,9,53.7188755434843
"84",29.5,77.5,1921,9,53.7188755434843
"85",28.5,76.5,1921,10,77.8369182959708
"86",29.5,76.5,1921,10,77.8369182959708
"87",28.5,77.5,1921,10,77.8369182959708
"88",29.5,77.5,1921,10,77.8369182959708
"89",28.5,76.5,1921,11,72.0997736845044
"90",29.5,76.5,1921,11,72.0997736845044
"91",28.5,77.5,1921,11,72.0997736845044
"92",29.5,77.5,1921,11,72.0997736845044
"93",28.5,76.5,1921,12,121.016836646548
"94",29.5,76.5,1921,12,121.016836646548
"95",28.5,77.5,1921,12,121.016836646548
"96",29.5,77.5,1921,12,121.016836646548
"97",28.5,76.5,1922,1,129.47159940114
"98",29.5,76.5,1922,1,129.47159940114
"99",28.5,77.5,1922,1,129.47159940114
"100",29.5,77.5,1922,1,129.47159940114
"101",28.5,76.5,1922,2,84.034687345795
"102",29.5,76.5,1922,2,84.034687345795
"103",28.5,77.5,1922,2,84.034687345795
"104",29.5,77.5,1922,2,84.034687345795
"105",28.5,76.5,1922,3,70.1074974247025
"106",29.5,76.5,1922,3,70.1074974247025
"107",28.5,77.5,1922,3,70.1074974247025
"108",29.5,77.5,1922,3,70.1074974247025
"109",28.5,76.5,1922,4,80.7829389624967
"110",29.5,76.5,1922,4,80.7829389624967
"111",28.5,77.5,1922,4,80.7829389624967
"112",29.5,77.5,1922,4,80.7829389624967
"113",28.5,76.5,1922,5,82.8939658675856
"114",29.5,76.5,1922,5,82.8939658675856
"115",28.5,77.5,1922,5,82.8939658675856
"116",29.5,77.5,1922,5,82.8939658675856
"117",28.5,76.5,1922,6,68.2104026299685
"118",29.5,76.5,1922,6,68.2104026299685
"119",28.5,77.5,1922,6,68.2104026299685
"120",29.5,77.5,1922,6,68.2104026299685
"121",28.5,76.5,1922,7,50.0276805324568
"122",29.5,76.5,1922,7,50.0276805324568
"123",28.5,77.5,1922,7,50.0276805324568
"124",29.5,77.5,1922,7,50.0276805324568
"125",28.5,76.5,1922,8,66.4654672221229
"126",29.5,76.5,1922,8,66.4654672221229
"127",28.5,77.5,1922,8,66.4654672221229
"128",29.5,77.5,1922,8,66.4654672221229
"129",28.5,76.5,1922,9,80.7366569843326
