"lat","lon","year","month","temperature"
28.5,76.5,1920,1,33.307840893992
29.5,76.5,1920,1,33.4472178336646
28.5,77.5,1920,1,33.0459717860181
29.5,77.5,1920,1,33.7018567800901
28.5,76.5,1920,2,37.0291673323877
29.5,76.5,1920,2,37.1685442720604
28.5,77.5,1920,2,36.7672982244139
29.5,77.5,1920,2,37.4231832184858
28.5,76.5,1920,3,40.5526196992331
29.5,76.5,1920,3,40.6919966389057
28.5,77.5,1920,3,40.2907505912592
29.5,77.5,1920,3,40.9466355853312
28.5,76.5,1920,4,38.7376576726218
29.5,76.5,1920,4,38.8770346122945
28.5,77.5,1920,4,38.475788564648
29.5,77.5,1920,4,39.1316735587199
28.5,76.5,1920,5,34.8632092085877
29.5,76.5,1920,5,35.0025861482603
28.5,77.5,1920,5,34.6013401006139
29.5,77.5,1920,5,35.2572250946858
28.5,76.5,1920,6,31.6380252549407
29.5,76.5,1920,6,31.7774021946133
28.5,77.5,1920,6,31.3761561469668
29.5,77.5,1920,6,32.0320411410388
28.5,76.5,1920,7,26.1983363456796
29.5,76.5,1920,7,26.3377132853522
28.5,77.5,1920,7,25.9364672377057
29.5,77.5,1920,7,26.5923522317777
28.5,76.5,1920,8,20.2034960335636
29.5,76.5,1920,8,20.3428729732362
28.5,77.5,1920,8,19.9416269255898
29.5,77.5,1920,8,20.5975119196617
28.5,76.5,1920,9,18.1572483661007
29.5,76.5,1920,9,18.2966253057733
28.5,77.5,1920,9,17.8953792581268
29.5,77.5,1920,9,18.5512642521988
28.5,76.5,1920,10,19.3629223632242
29.5,76.5,1920,10,19.5022993028968
28.5,77.5,1920,10,19.1010532552503
29.5,77.5,1920,10,19.7569382493223
28.5,76.5,1920,11,24.9468257430966
29.5,76.5,1920,11,25.0862026827692
28.5,77.5,1920,11,24.6849566351228
29.5,77.5,1920,11,25.3408416291947
28.5,76.5,1920,12,30.0642937838549
29.5,76.5,1920,12,30.2036707235275
28.5,77.5,1920,12,29.8024246758811
29.5,77.5,1920,12,30.458309669953
28.5,76.5,1921,1,35.1843237565539
29.5,76.5,1921,1,35.3237006962265
28.5,77.5,1921,1,34.9224546485801
29.5,77.5,1921,1,35.578339642652
28.5,76.5,1921,2,38.568889296439
29.5,76.5,1921,2,38.7082662361116
28.5,77.5,1921,2,38.3070201884651
29.5,77.5,1921,2,38.9629051825371
28.5,76.5,1921,3,38.94379353898
29.5,76.5,1921,3,39.0831704786526
28.5,77.5,1921,3,38.6819244310061
29.5,77.5,1921,3,39.3378094250781
28.5,76.5,1921,4,39.8368476709242
29.5,76.5,1921,4,39.9762246105968
28.5,77.5,1921,4,39.5749785629503
29.5,77.5,1921,4,40.2308635570223
28.5,76.5,1921,5,35.9697984992511
29.5,76.5,1921,5,36.1091754389237
28.5,77.5,1921,5,35.7079293912772
