year;month;conc_n2o;conc_co2;conc_ch4
1;1;264.1991;276.7016;647.5934
1;2;264.1991;276.7016;647.5934
1;3;264.1991;276.7016;647.5934
1;4;264.1991;276.7016;647.5934
1;5;264.1991;276.7016;647.5934
1;6;264.1991;276.7016;647.5934
1;7;264.1991;276.7016;647.5934
1;8;264.1991;276.7016;647.5934
1;9;264.1991;276.7016;647.5934
1;10;264.1991;276.7016;647.5934
1;11;264.1991;276.7016;647.5934
1;12;264.1991;276.7016;647.5934
2;1;264.1396;276.761;647.071
2;2;264.1396;276.761;647.071
2;3;264.1396;276.761;647.071
2;4;264.1396;276.761;647.071
2;5;264.1396;276.761;647.071
2;6;264.1396;276.761;647.071
2;7;264.1396;276.761;647.071
2;8;264.1396;276.761;647.071
2;9;264.1396;276.761;647.071
2;10;264.1396;276.761;647.071
2;11;264.1396;276.761;647.071
2;12;264.1396;276.761;647.071
3;1;264.0802;276.8203;646.5491
3;2;264.0802;276.8203;646.5491
3;3;264.0802;276.8203;646.5491
3;4;264.0802;276.8203;646.5491
3;5;264.0802;276.8203;646.5491
3;6;264.0802;276.8203;646.5491
3;7;264.0802;276.8203;646.5491
3;8;264.0802;276.8203;646.5491
3;9;264.0802;276.8203;646.5491
3;10;264.0802;276.8203;646.5491
3;11;264.0802;276.8203;646.5491
3;12;264.0802;276.8203;646.5491
4;1;264.0212;276.8793;646.028
4;2;264.0212;276.8793;646.028
4;3;264.0212;276.8793;646.028
4;4;264.0212;276.8793;646.028
4;5;264.0212;276.8793;646.028
4;6;264.0212;276.8793;646.028
4;7;264.0212;276.8793;646.028
4;8;264.0212;276.8793;646.028
4;9;264.0212;276.8793;646.028
4;10;264.0212;276.8793;646.028
4;11;264.0212;276.8793;646.028
4;12;264.0212;276.8793;646.028
5;1;263.9626;276.9379;645.5081
5;2;263.9626;276.9379;645.5081
5;3;263.9626;276.9379;645.5081
5;4;263.9626;276.9379;645.5081
5;5;263.9626;276.9379;645.5081
5;6;263.9626;276.9379;645.5081
5;7;263.9626;276.9379;645.5081
5;8;263.9626;276.9379;645.5081
5;9;263.9626;276.9379;645.5081
5;10;263.9626;276.9379;645.5081
5;11;263.9626;276.9379;645.5081
5;12;263.9626;276.9379;645.5081
6;1;263.9047;276.996;644.9898
6;2;263.9047;276.996;644.9898
6;3;263.9047;276.996;644.9898
6;4;263.9047;276.996;644.9898
6;5;263.9047;276.996;644.9898
6;6;263.9047;276.996;644.9898
6;7;263.9047;276.996;644.9898
6;8;263.9047;276.996;644.9898
6;9;263.9047;276.996;644.9898
6;10;263.9047;276.996;644.9898
6;11;263.9047;276.996;644.9898
6;12;263.9047;276.996;644.9898
7;1;263.8475;277.0535;644.4736
7;2;263.8475;277.0535;644.4736
7;3;263.8475;277.0535;644.4736
7;4;263.8475;277.0535;644.4736
7;5;263.8475;277.0535;644.4736
7;6;263.8475;277.0535;644.4736
7;7;263.8475;277.0535;644.4736
7;8;263.8475;277.0535;644.4736
7;9;263.8475;277.0535;644.4736
7;10;263.8475;277.0535;644.4736
7;11;263.8475;277.0535;644.4736
7;12;263.8475;277.0535;644.4736
8;1;263.7913;277.1102;643.9597
8;2;263.7913;277.1102;643.9597
8;3;263.7913;277.1102;643.9597
8;4;263.7913;277.1102;643.9597
8;5;263.7913;277.1102;643.9597
8;6;263.7913;277.1102;643.9597
8;7;263.7913;277.1102;643.9597
8;8;263.7913;277.1102;643.9597
8;9;263.7913;277.1102;643.9597
8;10;263.7913;277.1102;643.9597
8;11;263.7913;277.1102;643.9597
8;12;263.7913;277.1102;643.9597
9;1;263.7362;277.166;643.4487
9;2;263.7362;277.166;643.4487
9;3;263.7362;277.166;643.4487
9;4;263.7362;277.166;643.4487
9;5;263.7362;277.166;643.4487
9;6;263.7362;277.166;643.4487
9;7;263.7362;277.166;643.4487
9;8;263.7362;277.166;643.4487
9;9;263.7362;277.166;643.4487
9;10;263.7362;277.166;643.4487
9;11;263.7362;277.166;643.4487
9;12;263.7362;277.166;643.4487
10;1;263.6823;277.2207;642.9409
10;2;263.6823;277.2207;642.9409
10;3;263.6823;277.2207;642.9409
10;4;263.6823;277.2207;642.9409
10;5;263.6823;277.2207;642.9409
10;6;263.6823;277.2207;642.9409
10;7;263.6823;277.2207;642.9409
10;8;263.6823;277.2207;642.9409
10;9;263.6823;277.2207;642.9409
10;10;263.6823;277.2207;642.9409
10;11;263.6823;277.2207;642.9409
10;12;263.6823;277.2207;642.9409
11;1;263.6298;277.2743;642.4367
11;2;263.6298;277.2743;642.4367
11;3;263.6298;277.2743;642.4367
11;4;263.6298;277.2743;642.4367
11;5;263.6298;277.2743;642.4367
11;6;263.6298;277.2743;642.4367
11;7;263.6298;277.2743;642.4367
11;8;263.6298;277.2743;642.4367
11;9;263.6298;277.2743;642.4367
11;10;263.6298;277.2743;642.4367
11;11;263.6298;277.2743;642.4367
11;12;263.6298;277.2743;642.4367
12;1;263.5788;277.3266;641.9366
12;2;263.5788;277.3266;641.9366
12;3;263.5788;277.3266;641.9366
12;4;263.5788;277.3266;641.9366
12;5;263.5788;277.3266;641.9366
12;6;263.5788;277.3266;641.9366
12;7;263.5788;277.3266;641.9366
12;8;263.5788;277.3266;641.9366
12;9;263.5788;277.3266;641.9366
12;10;263.5788;277.3266;641.9366
12;11;263.5788;277.3266;641.9366
12;12;263.5788;277.3266;641.9366
13;1;263.5296;277.3775;641.4409
13;2;263.5296;277.3775;641.4409
13;3;263.5296;277.3775;641.4409
13;4;263.5296;277.3775;641.4409
13;5;263.5296;277.3775;641.4409
13;6;263.5296;277.3775;641.4409
13;7;263.5296;277.3775;641.4409
13;8;263.5296;277.3775;641.4409
13;9;263.5296;277.3775;641.4409
13;10;263.5296;277.3775;641.4409
13;11;263.5296;277.3775;641.4409
13;12;263.5296;277.3775;641.4409
14;1;263.4822;277.4268;640.95
