"","lat","lon","year","month","humidity_percent"
"1",28.5,76.5,1920,1,71.0462829174405
"2",29.5,76.5,1920,1,71.0462829174405
"3",28.5,77.5,1920,1,71.0462829174405
"4",29.5,77.5,1920,1,71.0462829174405
"5",28.5,76.5,1920,2,70.1509218314015
"6",29.5,76.5,1920,2,70.1509218314015
"7",28.5,77.5,1920,2,70.1509218314015
"8",29.5,77.5,1920,2,70.1509218314015
"9",28.5,76.5,1920,3,67.0568114412567
"10",29.5,76.5,1920,3,67.0568114412567
"11",28.5,77.5,1920,3,67.0568114412567
"12",29.5,77.5,1920,3,67.0568114412567
"13",28.5,76.5,1920,4,67.445782524778
"14",29.5,76.5,1920,4,67.445782524778
"15",28.5,77.5,1920,4,67.445782524778
"16",29.5,77.5,1920,4,67.445782524778
"17",28.5,76.5,1920,5,69.4305860016477
"18",29.5,76.5,1920,5,69.4305860016477
"19",28.5,77.5,1920,5,69.4305860016477
"20",29.5,77.5,1920,5,69.4305860016477
"21",28.5,76.5,1920,6,68.8033276731774
"22",29.5,76.5,1920,6,68.8033276731774
"23",28.5,77.5,1920,6,68.8033276731774
"24",29.5,77.5,1920,6,68.8033276731774
"25",28.5,76.5,1920,7,74.7735086570557
"26",29.5,76.5,1920,7,74.7735086570557
"27",28.5,77.5,1920,7,74.7735086570557
"28",29.5,77.5,1920,7,74.7735086570557
"29",28.5,76.5,1920,8,78.9557718010703
"30",29.5,76.5,1920,8,78.9557718010703
"31",28.5,77.5,1920,8,78.9557718010703
"32",29.5,77.5,1920,8,78.9557718010703
"33",28.5,76.5,1920,9,84.6719512264707
"34",29.5,76.5,1920,9,84.6719512264707
"35",28.5,77.5,1920,9,84.6719512264707
"36",29.5,77.5,1920,9,84.6719512264707
"37",28.5,76.5,1920,10,79.4582265720429
"38",29.5,76.5,1920,10,79.4582265720429
"39",28.5,77.5,1920,10,79.4582265720429
"40",29.5,77.5,1920,10,79.4582265720429
"41",28.5,76.5,1920,11,76.9708314750941
"42",29.5,76.5,1920,11,76.9708314750941
"43",28.5,77.5,1920,11,76.9708314750941
"44",29.5,77.5,1920,11,76.9708314750941
"45",28.5,76.5,1920,12,74.1054851385246
"46",29.5,76.5,1920,12,74.1054851385246
"47",28.5,77.5,1920,12,74.1054851385246
"48",29.5,77.5,1920,12,74.1054851385246
"49",28.5,76.5,1921,1,71.9300172806357
"50",29.5,76.5,1921,1,71.9300172806357
"51",28.5,77.5,1921,1,71.9300172806357
"52",29.5,77.5,1921,1,71.9300172806357
"53",28.5,76.5,1921,2,69.1805126363326
"54",29.5,76.5,1921,2,69.1805126363326
"55",28.5,77.5,1921,2,69.1805126363326
"56",29.5,77.5,1921,2,69.1805126363326
"57",28.5,76.5,1921,3,68.0331427238089
"58",29.5,76.5,1921,3,68.0331427238089
"59",28.5,77.5,1921,3,68.0331427238089
"60",29.5,77.5,1921,3,68.0331427238089
"61",28.5,76.5,1921,4,67.6975354696767
"62",29.5,76.5,1921,4,67.6975354696767
"63",28.5,77.5,1921,4,67.6975354696767
"64",29.5,77.5,1921,4,67.6975354696767
"65",28.5,76.5,1921,5,68.7140310087825
"66",29.5,76.5,1921,5,68.7140310087825
"67",28.5,77.5,1921,5,68.7140310087825
"68",29.5,77.5,1921,5,68.7140310087825
"69",28.5,76.5,1921,6,72.216266538493
"70",29.5,76.5,1921,6,72.216266538493
"71",28.5,77.5,1921,6,72.216266538493
"72",29.5,77.5,1921,6,72.216266538493
"73",28.5,76.5,1921,7,81.2486162890386
"74",29.5,76.5,1921,7,81.2486162890386
"75",28.5,77.5,1921,7,81.2486162890386
"76",29.5,77.5,1921,7,81.2486162890386
"77",28.5,76.5,1921,8,81.4410636216041
"78",29.5,76.5,1921,8,81.4410636216041
"79",28.5,77.5,1921,8,81.4410636216041
"80",29.5,77.5,1921,8,81.4410636216041
"81",28.5,76.5,1921,9,83.6054036493011
"82",29.5,76.5,1921,9,83.6054036493011
"83",28.5,77.5,1921,9,83.6054036493011
"84",29.5,77.5,1921,9,83.6054036493011
"85",28.5,76.5,1921,10,85.2215676048757
"86",29.5,76.5,1921,10,85.2215676048757
"87",28.5,77.5,1921,10,85.2215676048757
"88",29.5,77.5,1921,10,85.2215676048757
"89",28.5,76.5,1921,11,78.8004893631796
"90",29.5,76.5,1921,11,78.8004893631796
"91",28.5,77.5,1921,11,78.8004893631796
"92",29.5,77.5,1921,11,78.8004893631796
"93",28.5,76.5,1921,12,74.4761249649403
"94",29.5,76.5,1921,12,74.4761249649403
"95",28.5,77.5,1921,12,74.4761249649403
"96",29.5,77.5,1921,12,74.4761249649403
"97",28.5,76.5,1922,1,68.2797701267503
"98",29.5,76.5,1922,1,68.2797701267503
"99",28.5,77.5,1922,1,68.2797701267503
