"lon","lat","year","temperature_anomaly_annual"
76.5,28.5,1920,-0.436103657498711
76.5,28.5,1921,0.664334077949393
76.5,28.5,1922,-0.298089430920065
76.5,28.5,1923,-0.302795264288171
76.5,28.5,1924,-0.422802081672527
76.5,28.5,1925,-0.490049537526418
76.5,28.5,1926,-0.653123820726186
76.5,28.5,1927,-0.702154491770349
76.5,28.5,1928,0.192112639658357
76.5,28.5,1929,-0.00543004139645459
76.5,28.5,1930,-0.493431941736234
76.5,28.5,1931,0.0579533330381733
76.5,28.5,1932,0.182017461503627
76.5,28.5,1933,-0.89091947768649
76.5,28.5,1934,-0.498758014669157
76.5,28.5,1935,-0.632334584936704
76.5,28.5,1936,-0.560587861783843
76.5,28.5,1937,-0.58441346757216
76.5,28.5,1938,0.00208609985978636
76.5,28.5,1939,-0.148874242420066
76.5,28.5,1940,-0.285639437037658
76.5,28.5,1941,0.876225854517662
76.5,28.5,1942,0.00719967522237399
76.5,28.5,1943,-0.0656847054113264
76.5,28.5,1944,-0.56057276863788
76.5,28.5,1945,-0.780354594000398
76.5,28.5,1946,0.10705339261522
76.5,28.5,1947,0.375090679909064
76.5,28.5,1948,0.0574113385410867
76.5,28.5,1949,0.145606239221684
76.5,28.5,1950,-0.868094412268025
76.5,28.5,1951,0.0993106180674409
76.5,28.5,1952,0.347653874872975
76.5,28.5,1953,0.670384725867069
76.5,28.5,1954,0.159606310398611
76.5,28.5,1955,-0.301048079469841
76.5,28.5,1956,-0.176452902949776
76.5,28.5,1957,-0.844797528305486
76.5,28.5,1958,-0.0226636308717401
76.5,28.5,1959,0.0459596773328846
76.5,28.5,1960,0.0724669259265472
76.5,28.5,1961,-0.65518737250097
76.5,28.5,1962,-0.395394379349604
76.5,28.5,1963,0.211499805534131
76.5,28.5,1964,-0.30513253950519
76.5,28.5,1965,-0.0372845736166386
76.5,28.5,1966,0.142321573769393
76.5,28.5,1967,-0.296697677855622
76.5,28.5,1968,-0.185857537014237
76.5,28.5,1969,0.619364526663741
76.5,28.5,1970,0.217025624276841
76.5,28.5,1971,-0.351699628742182
76.5,28.5,1972,0.115410126806771
76.5,28.5,1973,0.227248707760687
76.5,28.5,1974,0.20676566482815
76.5,28.5,1975,-0.303189918847933
76.5,28.5,1976,-0.036901548545543
76.5,28.5,1977,0.0241864987840391
76.5,28.5,1978,-0.193427456976616
76.5,28.5,1979,0.374101457530505
76.5,28.5,1980,0.573730157779866
76.5,28.5,1981,0.292805117521792
76.5,28.5,1982,-0.361089523116203
76.5,28.5,1983,-0.764526738767346
76.5,28.5,1984,0.0378110878108466
76.5,28.5,1985,0.408377086973354
76.5,28.5,1986,-0.126903834607299
76.5,28.5,1987,0.979506566549001
76.5,28.5,1988,0.582325138650387
